Overall Rating,Comment,FeedbackCategory,Subcategory
3,This survey keeps popping up on my computer screen after I have filled it out. This is my 6th time filling it out to see if stops,,
5,"I stumbled over my password for the account and have often wondered, when we are finished with these types of accounts how do we go about deleting ourselves from the site?",,
3,Site difficult to navigate,,
4,Switching from teacher to parent was not easy. Kept asking me questions when I just anted to do a simple task.,,
3,I NEED MORE SPECIFIC INFORMATION ABOUT HTE RIGHT BOOKS FOR MY SECOND GRADER.,,
1,Your site certainly is not user friendly. Simplify by eliminating 75% of the steps one has to order.  I'm pretty damn computer efficient......yours is one of the more difficult to order goods on,,
1,"I was trying to look up Beth Ferry and some other authors from our book fair but nowhere to be found.  And even in the book fair the books are lacking.  Where are the popular books, the most upcoming, the best of the best authors.  STOP THE DIVERSITY thing. If the book is not good it should not matter.  What about bringing back some of the old classic authors as well.",,
1,I usually get emails when my students place an order on my account and I just had a parent asking me where her order was. I had FIVE orders waiting to be placed that had been sitting there for A WHOLE MONTH that I knew nothing about. This is not okay...,,
1,This website is clunky and very hard to use.,,
4,"My child's school has a Book Fair coming up, I would like to be able to see some of these online options at the fair, however it seems terribly random and usually the Scholastic flyers sent home have limited options.",,
4,"I know this is going to sound super ""boomer"" of me, but it makes me SO SAD that this is a website now and not a book fair with those old metal book cases and all the new books and little trinkets and pencils. I remember getting $10 from my parents every year when the book fair came in and spending every second I could looking at every book and making my choices so carefully and spending every penny I had there. Please bring them back!!",,
1,"I placed a first order of the school year and a student's order as well as a teacher order was delivered incomplete. The representative I had a live chat ""did not know what happened"" and re sent with 7-10 days wait again. This is concerning and may not incline families to place future orders with scholastic book club. Compensation for the student should be considered.",,
3,I am just guessing that shipping to home is no longer an option.,,
5,Love to see the internet option! It's great for procrastinator kids (like father like son!) and being able to get a paperless payment option.,,
5,"I have loved the Scholastic Book Fair since I was a kid and am very happy you have included a donation option for kids in need.  Please continue to provide this program for kids, learning and reading are a right every child should have.  Thank you!",,
5,The ease of the website was very enjoyable. I was able to use the code provided by my child's teacher to look up exactly what I we wanted to purchase!,,
3,"I am not finding appropriate books for a 6th grader on this site. I was looking for the order sheets that might have 5-6 grade books to order.,not 6-8",,
5,Very easy to navigate site.  Loaded info quickly.,,
4,The book we planned to order for us was out of stock.,,
3,could not sign in,,
5,Love the Scholastic site. Easy to find books and know which ones are age/grade appropriate for my child.,,
5,I love your site...It is super easy to use and I always find what I need!,,
2,The site is not user friendly.,,
5,I need to start receiving 65 flyers and while ive updated that information in my profile I dont see where to request it immediately so I can send the October flyer home,,
4,I could not find my younger kid's teacher in the list,,
3,signing in 2X,,
3,Super easy to navigate,,
2,There's a ton of steps to get to things.,,
